age,marital_status,no_of_dependants,education_level,relationship_to_student,income_in_kes,additional_income,employment_length,employment_status,guarantor_credit_score,existing_loans,outstanding_loan_amount,monthly_repayment_amount,monthly_expenses,missed_payments_last_year,financial_counseling,risk_score,risk_level
57,Married,5,High School,Other,111761,6304,45,Self-Employed,699,False,0,0,40416,0,True,24.655197177857602,Low
37,Divorced,1,High School,Other,91735,28367,18,Self-Employed,395,False,0,0,12914,5,True,43.6661438776826,Medium
41,Single,5,Master’s Degree,Guardian,61890,37486,26,Self-Employed,626,False,0,0,21841,4,True,36.01397727180621,Low
41,Married,6,High School,Sibling,101286,44947,27,Self-Employed,774,False,0,0,48064,3,False,37.179807394307815,Low
30,Divorced,2,Bachelor’s Degree,Parent,27270,49733,33,Unemployed,394,True,91705,33957,44241,5,True,73.59056145804551,High
45,Single,1,Bachelor’s Degree,Guardian,116850,33794,43,Employed,727,True,63050,33800,26483,3,True,43.08304237450493,Medium
37,Divorced,1,Bachelor’s Degree,Parent,36043,47362,10,Unemployed,312,False,0,0,47980,2,False,54.427056837063645,Medium
33,Married,3,Master’s Degree,Guardian,14576,27207,40,Unemployed,833,True,12078,1219,42398,0,False,43.79480298977619,Medium
56,Divorced,0,Bachelor’s Degree,Other,109308,18919,23,Unemployed,381,True,98272,12433,30165,2,True,57.42792282951092,Medium
60,Divorced,2,PhD,Other,15923,23493,0,Employed,714,True,30751,23581,49924,2,True,50.15686532651746,Medium
45,Married,4,High School,Other,83105,22056,26,Employed,348,False,0,0,47477,0,True,37.986244491111734,Low
47,Divorced,0,PhD,Sibling,144444,9264,37,Employed,436,False,0,0,26594,4,True,32.67756416689693,Low
62,Married,2,High School,Parent,143886,41672,27,Unemployed,502,True,59891,36381,21554,5,False,60.414417611679106,Medium
35,Divorced,6,Bachelor’s Degree,Parent,26153,14858,19,Self-Employed,353,True,26325,37339,30651,4,False,71.36246432992539,High
25,Married,0,High School,Parent,11660,16527,20,Unemployed,835,True,95856,2481,10294,3,False,56.46064142580822,Medium
19,Single,1,PhD,Parent,139176,27644,46,Employed,409,False,0,0,19203,3,True,31.429476942065023,Low
46,Single,6,Bachelor’s Degree,Sibling,89129,9216,9,Employed,594,False,0,0,48624,5,True,46.920021464492955,Medium
48,Single,6,High School,Guardian,124863,5691,31,Employed,356,False,0,0,31632,0,False,38.7313111025145,Low
52,Married,2,PhD,Guardian,112609,47407,39,Employed,643,False,0,0,45371,3,True,26.43464510269872,Low
52,Married,6,PhD,Guardian,63030,47217,28,Unemployed,741,True,16059,4913,28042,3,True,42.49568219673944,Medium
61,Divorced,6,PhD,Sibling,62703,34114,3,Employed,424,False,0,0,31555,4,True,41.53101500967119,Medium
45,Single,3,High School,Parent,145057,11351,6,Unemployed,533,True,72713,23054,37985,1,True,57.23492381597127,Medium
53,Single,0,Bachelor’s Degree,Sibling,126828,43621,37,Self-Employed,670,False,0,0,33306,4,True,29.557916684166898,Low
48,Married,5,Bachelor’s Degree,Sibling,105164,6490,29,Employed,340,True,32746,17611,18335,1,False,51.29753769733813,Medium
47,Divorced,2,Bachelor’s Degree,Parent,109427,23855,25,Self-Employed,685,True,248,47302,11713,0,True,35.436328064842954,Low
46,Divorced,5,PhD,Sibling,116867,48026,43,Unemployed,407,False,0,0,16468,5,False,42.22523402781616,Medium
20,Divorced,4,Bachelor’s Degree,Other,88140,45587,0,Self-Employed,822,True,52180,4413,21968,3,True,45.647860882380016,Medium
48,Single,5,Master’s Degree,Sibling,118339,46947,39,Unemployed,799,True,61834,34837,35685,0,True,40.08662299161831,Medium
43,Married,4,High School,Other,99893,46413,19,Employed,840,True,92946,20853,29274,0,True,38.13455136593903,Low
41,Single,0,High School,Other,125514,3851,42,Employed,539,True,25393,26244,10338,2,True,42.6588175435203,Medium
25,Single,2,High School,Sibling,30520,18256,44,Self-Employed,745,False,0,0,27957,2,True,33.42694947407202,Low
43,Single,1,Master’s Degree,Sibling,134349,10286,0,Self-Employed,641,False,0,0,31150,3,False,38.87522172239109,Low
19,Divorced,6,Bachelor’s Degree,Other,63201,15216,32,Unemployed,414,True,76813,42550,17158,2,True,63.756592586349825,Medium
22,Single,1,PhD,Parent,42721,19772,20,Employed,478,True,31187,26175,15550,1,True,48.48262304596113,Medium
61,Married,1,PhD,Sibling,94157,7208,5,Unemployed,531,True,27047,43022,29690,5,False,64.4288859473151,Medium
51,Married,4,Bachelor’s Degree,Parent,82906,27760,29,Employed,558,True,66940,6659,32018,0,True,41.68582659666575,Medium
19,Single,6,Bachelor’s Degree,Other,38412,6926,39,Unemployed,539,False,0,0,23200,5,True,50.3590889416966,Medium
57,Divorced,0,PhD,Parent,120120,658,0,Unemployed,396,False,0,0,10015,3,True,38.69067058303399,Low
48,Divorced,0,Bachelor’s Degree,Parent,13546,31838,24,Employed,717,True,37713,32248,45492,2,False,53.730355006907985,Medium
26,Divorced,2,PhD,Sibling,96379,39312,39,Unemployed,573,False,0,0,21566,5,True,38.223722030026714,Low
63,Divorced,5,Bachelor’s Degree,Parent,58564,38678,23,Unemployed,449,False,0,0,10471,0,False,34.704500333425436,Low
46,Single,2,PhD,Sibling,55404,47048,40,Unemployed,434,False,0,0,40015,1,False,40.4716605434282,Medium
19,Married,1,Master’s Degree,Guardian,148456,9473,4,Self-Employed,685,False,0,0,38498,0,True,27.74630062816616,Low
53,Divorced,3,PhD,Parent,139367,43561,38,Self-Employed,505,True,57361,43240,25656,4,True,48.99261282398452,Medium
20,Single,4,Master’s Degree,Parent,92235,8928,35,Self-Employed,394,False,0,0,44795,1,False,45.03446304872433,Medium
38,Divorced,0,PhD,Sibling,10699,1853,2,Employed,620,True,54499,21495,29238,4,False,62.243495692180154,Medium
54,Married,5,High School,Sibling,51510,17588,11,Unemployed,746,True,85206,11033,25652,3,True,55.608727749838806,Medium
53,Single,5,High School,Guardian,112157,27613,8,Self-Employed,832,False,0,0,41186,1,False,32.50351204936907,Low
57,Single,1,Master’s Degree,Guardian,85450,25140,2,Employed,337,False,0,0,26263,1,False,39.84995853366492,Low
24,Single,0,High School,Sibling,101003,17819,8,Self-Employed,698,False,0,0,38429,1,False,38.445988648798014,Low
44,Divorced,0,Master’s Degree,Parent,12430,11843,41,Employed,380,False,0,0,35347,1,True,36.901284675324675,Low
41,Divorced,5,Bachelor’s Degree,Other,148252,35813,15,Employed,628,True,83424,37754,35708,4,True,54.40611570783826,Medium
35,Single,2,Bachelor’s Degree,Guardian,35256,10418,44,Self-Employed,589,False,0,0,38197,2,False,41.522076569954876,Medium
24,Divorced,6,Master’s Degree,Other,135202,847,7,Unemployed,721,True,15077,3657,44573,0,True,45.772936924564796,Medium
59,Divorced,5,PhD,Guardian,14067,21340,8,Self-Employed,641,True,64164,17231,43702,3,True,56.64368794326241,Medium
19,Married,2,Master’s Degree,Guardian,124262,33415,5,Employed,674,False,0,0,24628,0,False,27.545128672745694,Low
45,Married,1,PhD,Guardian,122566,16682,34,Self-Employed,443,True,84191,4095,15537,1,True,41.84583451874366,Medium
33,Single,3,Master’s Degree,Other,86874,44485,40,Employed,714,True,40964,9936,19535,5,True,44.62216324951645,Medium
26,Single,0,Bachelor’s Degree,Other,141133,23656,8,Self-Employed,490,False,0,0,48888,3,False,46.53764710693562,Medium
52,Single,1,High School,Sibling,91212,13397,19,Employed,606,True,60196,46676,20004,3,True,53.348519882103716,Medium
31,Divorced,5,PhD,Parent,72684,16986,20,Self-Employed,672,True,2651,11573,41458,3,False,52.8101490513033,Medium
57,Married,2,Bachelor’s Degree,Guardian,31752,11619,15,Self-Employed,482,False,0,0,25547,3,True,40.276109087224825,Medium
52,Single,2,High School,Other,20208,23483,45,Unemployed,798,False,0,0,11240,3,False,35.70919207147462,Low
64,Divorced,2,PhD,Other,18678,30472,34,Unemployed,740,False,0,0,25860,5,False,40.27097839918946,Medium
64,Single,4,PhD,Parent,11086,46567,32,Self-Employed,844,False,0,0,35813,5,False,36.89342914985724,Low
31,Divorced,2,PhD,Other,42653,25997,30,Self-Employed,618,True,16359,48464,41377,2,False,55.97173772220687,Medium
31,Married,1,PhD,Guardian,65547,33721,6,Self-Employed,815,False,0,0,28059,5,False,38.37894833195173,Low
50,Married,2,Bachelor’s Degree,Parent,44797,48476,20,Employed,774,False,0,0,20335,0,True,19.082467130883302,Low
37,Single,6,PhD,Sibling,106221,49073,46,Self-Employed,367,True,1865,7205,29466,4,True,49.343277394307826,Medium
50,Single,5,High School,Other,75164,46792,32,Employed,522,False,0,0,18935,1,True,28.94274236713641,Low
37,Married,6,PhD,Parent,30231,33527,18,Employed,829,True,87223,7621,20190,0,True,37.573491193699915,Low
63,Divorced,5,High School,Other,20610,23653,11,Employed,550,False,0,0,30266,4,False,47.01166977249701,Medium
49,Divorced,2,Bachelor’s Degree,Guardian,132207,23467,30,Self-Employed,318,True,68569,39970,43523,3,True,60.78831085843234,Medium
37,Married,4,PhD,Other,76405,30111,41,Employed,355,True,50823,46046,26864,5,True,59.93049275582573,Medium
37,Married,5,PhD,Guardian,111621,16301,13,Unemployed,344,True,47261,45615,24632,4,True,64.98329131712259,Medium
46,Married,0,Master’s Degree,Guardian,65591,26149,42,Self-Employed,326,True,78406,40890,31889,0,False,55.95495498756562,Medium
52,Married,2,High School,Other,49746,33612,2,Employed,665,True,46395,45833,41849,5,False,65.5970307865893,Medium
34,Married,4,PhD,Parent,92050,21934,30,Employed,728,True,71118,24576,35430,3,True,46.99877973841761,Medium
60,Single,4,Bachelor’s Degree,Other,86334,26723,14,Employed,430,False,0,0,36174,5,False,48.86757678179976,Medium
29,Married,2,PhD,Sibling,27451,44106,1,Employed,637,False,0,0,18965,1,False,32.94520523533205,Low
30,Single,5,PhD,Sibling,10394,25864,19,Employed,652,False,0,0,47697,3,True,41.61230472137791,Medium
60,Married,6,Master’s Degree,Other,27826,45353,24,Unemployed,673,True,9102,8633,39217,1,True,44.56498926222714,Medium
58,Single,1,High School,Guardian,131829,20960,35,Self-Employed,729,True,81341,29137,10553,4,True,45.67238193515704,Medium
35,Divorced,6,High School,Other,33275,10974,34,Employed,814,False,0,0,14088,3,True,30.842562011605416,Low
45,Married,6,Master’s Degree,Parent,16150,19689,12,Unemployed,542,False,0,0,15419,1,False,41.55299610942249,Medium
59,Divorced,2,High School,Other,122516,49678,46,Employed,688,False,0,0,31025,2,True,21.65208021737128,Low
31,Single,4,PhD,Parent,49290,47407,15,Unemployed,670,True,41782,44414,18906,3,False,58.64246904485586,Medium
25,Married,0,Bachelor’s Degree,Guardian,87579,18417,3,Unemployed,812,False,0,0,42686,1,True,33.939458347609836,Low
33,Married,0,PhD,Parent,148877,14616,3,Employed,489,False,0,0,36372,4,True,37.736022569770654,Low
56,Married,1,Master’s Degree,Guardian,57760,2897,41,Unemployed,408,True,21445,24971,44226,1,False,57.89325018605508,Medium
45,Married,3,Bachelor’s Degree,Parent,37478,48722,1,Employed,649,True,58101,34925,13631,3,True,50.29815675324676,Medium
21,Married,0,Master’s Degree,Other,137472,24635,40,Employed,755,True,62068,32380,27787,4,False,48.39822289030119,Medium
45,Divorced,5,Master’s Degree,Guardian,83727,38472,28,Self-Employed,496,False,0,0,18616,3,False,37.60687218200239,Low
60,Married,4,PhD,Sibling,31445,39213,7,Self-Employed,524,False,0,0,22042,3,True,35.608471725154274,Low
37,Single,6,High School,Sibling,22861,19054,43,Self-Employed,576,True,39698,33396,22734,4,False,63.13603468914065,Medium
30,Single,0,PhD,Other,82616,17694,8,Employed,327,False,0,0,22463,2,True,39.29335830892512,Low
58,Divorced,3,High School,Parent,98292,34574,32,Employed,433,False,0,0,30885,5,True,40.598124597955234,Medium
22,Divorced,1,Bachelor’s Degree,Guardian,84533,45625,26,Unemployed,457,True,40535,530,41076,3,False,61.31405572902274,Medium
50,Married,1,Bachelor’s Degree,Guardian,62027,35200,11,Unemployed,345,False,0,0,41133,1,True,43.1351785391913,Medium
52,Divorced,4,PhD,Other,58827,41644,38,Employed,442,True,9814,33286,36841,3,False,53.82038666850879,Medium
57,Single,3,Bachelor’s Degree,Guardian,120620,13794,36,Unemployed,559,True,52938,36352,45766,4,False,64.08811992815694,Medium
51,Single,1,High School,Other,137982,4504,42,Self-Employed,454,True,84702,12238,23221,5,False,61.129315764944266,Medium
28,Married,2,High School,Sibling,143115,37135,36,Unemployed,538,False,0,0,33075,1,False,36.45381167910104,Low
47,Divorced,5,Master’s Degree,Guardian,100544,38524,1,Employed,328,False,0,0,47915,0,False,41.717401488440636,Medium
43,Divorced,2,PhD,Guardian,73779,23563,6,Self-Employed,721,True,73034,5399,14383,4,False,51.56662228424059,Medium
61,Married,3,Bachelor’s Degree,Parent,101418,24274,47,Self-Employed,647,True,43990,29593,36670,1,True,40.66054983697153,Medium
61,Single,0,High School,Sibling,84478,40585,2,Unemployed,549,False,0,0,39071,2,False,44.49081796076264,Medium
47,Married,5,PhD,Sibling,142197,30863,42,Unemployed,508,False,0,0,43605,3,True,35.444976597586816,Low
43,Single,0,Master’s Degree,Parent,144295,3243,22,Unemployed,311,False,0,0,29801,2,True,41.558674893617024,Medium
61,Single,6,Bachelor’s Degree,Parent,84904,42666,7,Self-Employed,518,False,0,0,47414,2,False,43.175751776733904,Medium
43,Single,6,Bachelor’s Degree,Parent,65837,34786,46,Self-Employed,650,True,20326,16067,28664,5,False,55.03272484664272,Medium
50,Single,0,High School,Parent,131225,13346,41,Self-Employed,810,True,19846,18505,29947,3,True,39.757008361425804,Low
52,Married,1,Bachelor’s Degree,Other,120513,10932,30,Unemployed,619,True,77800,48396,29470,2,True,52.94445625126646,Medium
42,Divorced,4,Master’s Degree,Other,12993,6072,11,Employed,322,True,20970,44457,23957,1,False,62.81323795339413,Medium
64,Divorced,1,Bachelor’s Degree,Other,46613,21458,3,Unemployed,747,True,13307,15729,27195,1,True,44.31498706917196,Medium
29,Single,5,Master’s Degree,Other,126540,26653,1,Employed,554,False,0,0,18520,0,True,27.953853027539836,Low
25,Single,6,High School,Parent,68553,44821,30,Unemployed,737,True,34328,38617,40434,0,True,50.69958438242608,Medium
33,Single,0,Master’s Degree,Parent,80663,755,6,Unemployed,775,False,0,0,42961,1,False,40.07766670350926,Medium
31,Single,5,PhD,Other,44930,36748,40,Employed,539,True,13944,31688,20228,2,False,49.9475231463572,Medium
65,Single,0,PhD,Other,123251,29966,20,Unemployed,531,True,29671,14328,45634,3,False,54.9011727963526,Medium
61,Married,5,Master’s Degree,Other,66182,6136,5,Employed,465,False,0,0,42491,3,False,46.05082070921986,Medium
59,Divorced,3,Master’s Degree,Guardian,11715,33544,3,Self-Employed,803,True,43371,47229,38248,4,True,55.80866733075435,Medium
58,Divorced,6,PhD,Parent,63447,31505,34,Self-Employed,584,True,26817,23319,17529,4,True,46.9655564879801,Medium
27,Single,3,High School,Parent,119093,10950,25,Unemployed,674,False,0,0,37810,1,True,36.50317811550151,Low
54,Married,0,PhD,Guardian,93787,34604,11,Unemployed,695,True,24292,33027,17660,1,False,44.03276160265266,Medium
55,Married,2,Bachelor’s Degree,Guardian,81642,26940,30,Self-Employed,491,True,41130,10001,21472,5,False,56.316209739338674,Medium
47,Single,1,Bachelor’s Degree,Parent,129639,8077,45,Self-Employed,499,True,48347,27900,28335,2,True,47.792889086303774,Medium
53,Single,2,PhD,Other,13997,21905,31,Self-Employed,415,False,0,0,29358,4,False,47.34025196647324,Medium
46,Single,3,Bachelor’s Degree,Parent,121968,11814,15,Employed,828,False,0,0,18006,1,False,24.964291550151977,Low
20,Divorced,3,PhD,Parent,69169,34541,2,Employed,470,False,0,0,41332,5,False,51.717585542967676,Medium
65,Divorced,1,PhD,Parent,85339,29368,36,Unemployed,396,True,68781,33349,38107,4,False,64.10283112001474,Medium
36,Single,3,Bachelor’s Degree,Parent,120907,43752,40,Unemployed,445,False,0,0,19839,2,False,38.454275092567,Low
51,Divorced,5,Bachelor’s Degree,Other,76406,28895,21,Unemployed,617,True,11365,3812,48369,1,False,52.650284188081415,Medium
32,Single,2,Master’s Degree,Guardian,59124,37536,7,Self-Employed,637,False,0,0,33980,5,True,43.07881313806761,Medium
52,Divorced,4,Master’s Degree,Other,104638,12661,35,Employed,565,False,0,0,27632,5,True,35.82658850879616,Low
32,Divorced,3,Bachelor’s Degree,Parent,119741,27937,15,Self-Employed,658,True,78680,16982,31620,4,False,57.89567403150041,Medium
26,Divorced,0,High School,Guardian,142503,38607,19,Employed,817,False,0,0,22442,5,False,33.65164425531915,Low
50,Married,1,High School,Parent,42448,49869,35,Employed,560,True,83309,49343,13714,2,False,53.4219823883209,Medium
22,Married,6,Master’s Degree,Parent,31906,2511,21,Self-Employed,312,True,36250,11958,21325,1,False,61.25115286543243,Medium
51,Married,0,Bachelor’s Degree,Parent,47961,36035,6,Self-Employed,527,False,0,0,27257,2,False,39.23189516441006,Low
50,Married,1,PhD,Sibling,47065,26857,2,Employed,523,True,8195,44384,34144,0,True,46.15391068343005,Medium
26,Married,6,High School,Parent,131325,48584,30,Self-Employed,528,False,0,0,25704,3,False,38.62218997513125,Low
27,Married,3,Bachelor’s Degree,Other,87307,1039,6,Unemployed,677,False,0,0,21893,3,False,44.072714705719804,Medium
30,Divorced,3,PhD,Other,123113,10585,40,Unemployed,820,True,25370,29199,42467,0,False,43.49798309477757,Medium
46,Married,4,Master’s Degree,Parent,56011,41592,24,Self-Employed,491,False,0,0,48375,3,False,44.50012923275305,Medium
30,Married,2,High School,Guardian,144714,19839,30,Employed,661,False,0,0,18820,3,False,31.993766285345856,Low
28,Divorced,0,Bachelor’s Degree,Parent,114993,32990,7,Self-Employed,542,False,0,0,40373,5,False,47.97835319148936,Medium
59,Divorced,5,Bachelor’s Degree,Guardian,93777,6377,14,Unemployed,797,False,0,0,49254,2,False,39.9165678990513,Low
55,Divorced,0,Bachelor’s Degree,Sibling,38045,6167,29,Employed,725,True,88021,16567,38179,4,False,57.76017160817906,Medium
26,Married,3,Master’s Degree,Parent,90210,43366,42,Unemployed,411,True,92492,26554,30733,3,False,63.714772743851896,Medium
19,Divorced,0,Master’s Degree,Parent,48081,47969,20,Employed,632,False,0,0,39237,3,True,36.019702934512296,Low
20,Divorced,5,Master’s Degree,Parent,44977,9641,19,Employed,553,True,29227,18403,18927,0,True,46.09805308004053,Medium
28,Divorced,5,PhD,Parent,132978,8111,12,Unemployed,825,False,0,0,10504,5,False,37.777345881919494,Low
29,Married,2,PhD,Guardian,74277,48553,43,Employed,595,True,95635,39391,48067,4,True,56.13919622455558,Medium
42,Married,6,PhD,Sibling,89114,6332,46,Employed,793,False,0,0,22939,3,False,27.989453539651837,Low
47,Single,2,Master’s Degree,Other,100536,2455,34,Self-Employed,397,False,0,0,31815,4,True,42.18879449203279,Medium
24,Married,3,PhD,Parent,146336,14888,35,Self-Employed,601,False,0,0,15700,1,True,22.742857540757115,Low
48,Divorced,1,High School,Parent,80775,36567,23,Self-Employed,405,False,0,0,47739,4,False,50.12019168094318,Medium
34,Divorced,5,Master’s Degree,Guardian,39695,6864,18,Unemployed,801,False,0,0,31474,2,False,40.45185316017316,Medium
45,Divorced,2,Master’s Degree,Other,141031,25027,19,Employed,698,True,90312,38472,21161,0,False,42.89528315740997,Medium
54,Divorced,1,Bachelor’s Degree,Guardian,51545,12133,18,Unemployed,656,True,51873,27227,18537,4,False,59.95769284977434,Medium
23,Married,5,High School,Other,35527,9510,15,Employed,816,False,0,0,19759,1,False,33.879445169015376,Low
27,Divorced,1,Bachelor’s Degree,Parent,52399,1120,25,Self-Employed,568,False,0,0,12990,4,True,39.660906254029655,Low
30,Married,2,Master’s Degree,Sibling,22754,11854,5,Self-Employed,844,False,0,0,34223,5,True,40.582889413281755,Medium
47,Divorced,4,PhD,Other,109986,12189,4,Self-Employed,471,False,0,0,26153,4,False,44.31594657456019,Medium
65,Single,6,PhD,Other,59770,46035,7,Unemployed,651,False,0,0,28037,0,True,29.11425570599613,Low
34,Divorced,5,PhD,Guardian,138811,25380,42,Employed,453,True,476,40380,13084,0,True,36.234801035276774,Low
18,Single,4,Bachelor’s Degree,Other,41056,44903,44,Employed,418,True,62541,14800,36661,2,False,60.017331667127195,Medium
60,Single,3,Bachelor’s Degree,Sibling,30147,12627,0,Self-Employed,823,False,0,0,17835,5,False,41.67386138712351,Medium
57,Divorced,4,PhD,Parent,25085,39710,24,Unemployed,395,False,0,0,14116,1,False,39.314058284977435,Low
31,Divorced,3,Master’s Degree,Parent,58190,28278,3,Self-Employed,789,True,82839,37371,19447,4,True,54.75437463111358,Medium
44,Married,4,Bachelor’s Degree,Other,93605,35820,39,Employed,569,True,32712,36823,22019,2,False,47.62166027447729,Medium
28,Married,4,Bachelor’s Degree,Parent,80393,26362,18,Employed,572,False,0,0,27233,3,True,36.16863224463481,Low
41,Married,0,PhD,Sibling,20809,19956,45,Employed,305,False,0,0,48264,1,True,38.610809859077094,Low
61,Married,1,Master’s Degree,Sibling,15079,30678,44,Self-Employed,533,False,0,0,47860,4,False,43.714829945657186,Medium
43,Married,1,Master’s Degree,Sibling,91803,4066,12,Self-Employed,480,False,0,0,37578,0,False,37.248615919683154,Low
52,Married,3,PhD,Parent,102361,49075,16,Unemployed,523,False,0,0,21130,3,False,37.48083592152528,Low
63,Single,4,PhD,Guardian,92713,14776,26,Employed,635,False,0,0,30597,5,True,34.90144957538915,Low
47,Married,0,Bachelor’s Degree,Sibling,16522,3674,39,Employed,339,True,64326,12870,22001,5,False,65.75334813484389,Medium
31,Divorced,5,High School,Parent,42744,45046,30,Unemployed,731,False,0,0,28956,2,False,39.91578954038869,Low
18,Divorced,4,Master’s Degree,Guardian,118025,3923,10,Employed,481,True,58638,21877,11618,1,True,48.787176809431706,Medium
51,Divorced,1,Master’s Degree,Other,127659,13446,39,Unemployed,413,True,8748,31474,47972,1,True,50.94674202081606,Medium
32,Married,5,Bachelor’s Degree,Guardian,68793,19642,9,Self-Employed,554,True,40510,4604,14055,4,False,57.46931606705352,Medium
55,Single,3,Master’s Degree,Other,86413,45374,32,Self-Employed,320,True,6157,11590,47430,2,True,51.544681715943625,Medium
19,Married,2,Master’s Degree,Guardian,145536,39300,0,Employed,547,False,0,0,40015,0,True,29.038005765865343,Low
63,Divorced,6,Master’s Degree,Parent,111137,21260,46,Employed,399,False,0,0,23869,2,False,33.43416838905775,Low
24,Divorced,2,Master’s Degree,Parent,40603,47321,35,Self-Employed,718,True,59811,13842,41905,3,False,54.15467083080041,Medium
47,Married,5,High School,Parent,144673,46464,39,Self-Employed,719,False,0,0,38793,2,True,25.3214441521599,Low
19,Single,4,PhD,Guardian,21264,1824,24,Employed,435,False,0,0,19529,1,True,38.59752524270056,Low
20,Single,0,Bachelor’s Degree,Parent,84328,24307,3,Employed,833,True,39905,21941,32851,3,False,52.47248739707102,Medium
40,Single,4,High School,Parent,60722,36772,2,Employed,520,False,0,0,34669,4,True,45.53122865248227,Medium
24,Single,1,PhD,Sibling,81659,38187,20,Unemployed,721,False,0,0,25986,4,True,36.80746578981302,Low
19,Single,1,PhD,Parent,28040,41897,28,Employed,420,False,0,0,30891,0,True,33.77533785391914,Low
61,Divorced,1,High School,Parent,39600,49012,40,Employed,414,False,0,0,43242,2,True,36.57940278898407,Low
39,Single,1,Master’s Degree,Guardian,94724,26524,12,Employed,810,False,0,0,29439,3,True,28.38279354886248,Low
36,Married,2,High School,Parent,29137,7765,42,Unemployed,801,False,0,0,17788,5,True,39.069291701206595,Low
28,Divorced,1,Bachelor’s Degree,Parent,51770,22664,34,Unemployed,459,False,0,0,49176,5,True,52.82793723496361,Medium
41,Married,0,Master’s Degree,Sibling,46445,8362,6,Employed,720,True,1746,9808,25976,2,False,45.975537159436314,Medium
52,Married,3,Bachelor’s Degree,Sibling,123183,49747,41,Unemployed,488,True,33708,43380,43883,4,False,60.516063442940045,Medium
54,Single,0,Bachelor’s Degree,Sibling,74071,42069,19,Self-Employed,593,True,59053,14057,12551,5,False,55.05780176015473,Medium
50,Married,6,PhD,Parent,47672,44531,5,Self-Employed,322,False,0,0,43803,5,False,54.902881094224924,Medium
23,Divorced,6,PhD,Guardian,54760,28184,8,Self-Employed,678,True,59321,41837,42402,2,False,60.8785933158331,Medium
