utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",692
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",735
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",732
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",649
Never paid,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",648
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",672
Always on time,No,"Yes, once",No,6 months to 1 year,No,Live with family/friends,"Yes, more than once",No,"Yes, actively used",568
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Own,"Yes, once",No,"Yes, actively used",748
Occasionally late,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",711
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,"Yes, once",No,"Yes, actively used",702
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",750
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Own,No,No,"Yes, rarely used",690
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, once",No,"Yes, actively used",676
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",675
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",785
Occasionally late,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",631
Always on time,No,No,No,Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",738
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,"Yes, once",No,"Yes, actively used",733
Always on time,No,"Yes, once",No,Over 3 years,No,Own,"Yes, once",No,"Yes, actively used",655
Always on time,"Yes, not refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member",No,692
Never paid,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",656
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",713
Frequently late,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, rarely used",563
Frequently late,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",661
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",717
Frequently late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",573
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, active member","Yes, actively used",670
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,"Yes, once","Yes, inactive member","Yes, rarely used",700
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",703
Always on time,No,No,No,Over 3 years,No,Own,No,No,"Yes, actively used",766
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",744
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,"Yes, more than once","Yes, active member","Yes, rarely used",641
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",691
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",745
Always on time,"Yes, not refunded","Yes, once",No,Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",594
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",727
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",775
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",738
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",788
Never paid,No,"Yes, more than once","Yes, sufficient",Less than 6 months,No,Own,No,"Yes, inactive member","Yes, actively used",526
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",665
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",731
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,No,No,689
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, actively used",637
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",630
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",673
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",643
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",742
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",782
Always on time,No,"Yes, more than once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",670
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",610
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",723
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",695
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,"Yes, more than once","Yes, inactive member","Yes, rarely used",674
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",720
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",828
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",699
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",668
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",713
Always on time,No,No,No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",743
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",755
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",682
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",671
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,"Yes, once",No,"Yes, actively used",642
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member",No,750
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",759
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",751
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",821
Always on time,"Yes, not refunded","Yes, once","Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member",No,592
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",760
Always on time,"Yes, not refunded",No,No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",662
Occasionally late,No,No,No,Less than 6 months,No,Own,No,"Yes, active member","Yes, actively used",673
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",780
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, rarely used",800
Frequently late,No,"Yes, once",No,6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",561
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",784
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, rarely used",745
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",687
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, rarely used",702
Always on time,No,"Yes, more than once",No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",641
Always on time,"Yes, not refunded",No,No,1 to 3 years,No,Own,No,No,No,644
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",657
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member",No,662
Occasionally late,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",669
Occasionally late,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",728
Frequently late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",606
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",644
Always on time,No,"Yes, more than once",No,6 months to 1 year,No,Rent,No,No,"Yes, rarely used",631
Frequently late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",631
Always on time,No,"Yes, more than once","Yes, sufficient",1 to 3 years,No,Rent,"Yes, once",No,"Yes, rarely used",617
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once","Yes, active member","Yes, rarely used",699
Frequently late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",620
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",669
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",784
Always on time,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",616
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",800
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",686
Frequently late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",682
Always on time,No,"Yes, more than once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",704
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",682
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",714
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",791
Always on time,"Yes, but refunded","Yes, once",No,6 months to 1 year,No,Own,"Yes, once",No,"Yes, rarely used",593
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,"Yes, once",No,"Yes, rarely used",770
Frequently late,No,"Yes, more than once","Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",605
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",703
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,No,"Yes, inactive member","Yes, actively used",749
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",657
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",738
Never paid,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",620
Never paid,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",594
Always on time,No,"Yes, more than once","Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",643
Always on time,No,"Yes, more than once","Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",683
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",800
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",800
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,"Yes, once",No,"Yes, actively used",755
Occasionally late,"Yes, not refunded","Yes, once",No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",535
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Rent,No,No,No,628
Always on time,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",641
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",728
Frequently late,No,No,No,Over 3 years,No,Own,"Yes, once","Yes, inactive member","Yes, actively used",665
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,"Yes, once","Yes, inactive member","Yes, actively used",727
Always on time,No,No,"Yes, but limited",Over 3 years,No,Live with family/friends,No,No,"Yes, actively used",754
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",728
Never paid,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",570
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, rarely used",735
Occasionally late,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",635
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",698
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Live with family/friends,"Yes, more than once",No,"Yes, actively used",685
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Live with family/friends,"Yes, once","Yes, active member","Yes, actively used",618
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",779
Occasionally late,"Yes, not refunded","Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",569
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,No,697
Always on time,"Yes, but refunded",No,No,Over 3 years,No,Own,No,No,"Yes, rarely used",718
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",687
Occasionally late,No,"Yes, more than once","Yes, but limited",Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",654
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",754
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Own,"Yes, once",No,"Yes, rarely used",747
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, actively used",706
Always on time,"Yes, but refunded",No,No,Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",709
Occasionally late,"Yes, not refunded",No,No,1 to 3 years,No,Own,No,"Yes, active member","Yes, rarely used",603
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",661
Always on time,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",678
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",733
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, rarely used",717
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",683
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",623
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,No,712
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",673
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",783
Always on time,"Yes, not refunded",No,No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",619
Always on time,No,No,No,Less than 6 months,"Yes, regularly",Rent,"Yes, more than once",No,"Yes, rarely used",658
Frequently late,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",704
Frequently late,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",685
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",740
Occasionally late,No,"Yes, more than once",No,Less than 6 months,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",607
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",703
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",754
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member",No,731
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",659
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Live with family/friends,No,No,No,696
Frequently late,No,No,No,1 to 3 years,"Yes, regularly",Rent,"Yes, once",No,"Yes, actively used",623
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",598
Occasionally late,No,"Yes, once",No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",574
Always on time,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",629
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",653
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",788
Frequently late,No,No,No,1 to 3 years,No,Own,"Yes, once",No,"Yes, rarely used",616
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",635
Occasionally late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",639
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,No,Live with family/friends,"Yes, more than once","Yes, inactive member",No,553
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",716
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",729
Frequently late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",658
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, rarely used",641
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, rarely used",756
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",705
Occasionally late,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",649
Always on time,No,"Yes, more than once",No,Less than 6 months,No,Own,"Yes, more than once",No,"Yes, rarely used",541
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,No,745
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,"Yes, once",No,"Yes, rarely used",657
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, rarely used",691
Occasionally late,No,"Yes, more than once","Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, actively used",565
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",716
Occasionally late,"Yes, but refunded",No,No,Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",686
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",789
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",677
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",737
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",649
Occasionally late,"Yes, not refunded",No,No,Over 3 years,No,Live with family/friends,No,No,"Yes, rarely used",597
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",689
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",737
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",725
Always on time,"Yes, but refunded","Yes, once",No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",658
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",809
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, rarely used",734
Never paid,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",628
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",739
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",617
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, regularly",Rent,No,"Yes, active member",No,682
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",670
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",779
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",651
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,No,No,571
Always on time,No,"Yes, more than once",No,Over 3 years,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, actively used",658
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,"Yes, inactive member",No,651
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member",No,802
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",663
Occasionally late,"Yes, but refunded","Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,"Yes, more than once",No,"Yes, actively used",525
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",719
Frequently late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",691
Never paid,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",625
Frequently late,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",639
Always on time,"Yes, but refunded","Yes, once",No,Over 3 years,No,Own,No,"Yes, inactive member",No,642
